amfi_code,scheme_name,fund_house,category,sub_category,risk_category,observations,mean_daily_return,daily_volatility,historical_var_95,historical_cvar_95,var_95_pct,cvar_95_pct
125498,HDFC Mid-Cap Opportunities Fund - Direct - Growth,HDFC Mutual Fund,Equity,Mid Cap,High,1149,0.00047686346287115325,0.011560944277330922,-0.018365320169601018,-0.02309379305316794,-1.8365320169601018,-2.309379305316794
120842,Kotak Emerging Equity Fund - Regular - Growth,Kotak Mahindra MF,Equity,Mid Cap,High,1149,0.0003119045881482731,0.011272610878515414,-0.01821853045255608,-0.02272497526268088,-1.8218530452556079,-2.2724975262680878
149323,DSP Midcap Fund - Regular - Growth,DSP Mutual Fund,Equity,Mid Cap,High,1149,0.0010551910655344048,0.011179029641055082,-0.017882076201903473,-0.02260664210042033,-1.7882076201903474,-2.2606642100420333
148569,Mirae Asset Tax Saver Fund - Regular - Growth,Mirae Asset MF,Equity,ELSS,High,1149,0.0011240540293206527,0.011133577708427348,-0.017118192655621135,-0.021328305810328105,-1.7118192655621134,-2.1328305810328105
102887,UTI Flexi Cap Fund - Regular - Growth,UTI Mutual Fund,Equity,Flexi Cap,Moderately High,1149,0.000645340694310669,0.009926838079358374,-0.015231617279157872,-0.019411182679158694,-1.5231617279157872,-1.9411182679158694
148568,Mirae Asset Emerging Bluechip Fund - Regular - Growth,Mirae Asset MF,Equity,Large & Mid Cap,Moderately High,1149,0.0008250722735460028,0.009719447430866657,-0.014711531333512795,-0.01876476958423089,-1.4711531333512795,-1.876476958423089
125497,HDFC Top 100 Fund - Direct Plan - Growth,HDFC Mutual Fund,Equity,Large Cap,Moderate,1149,0.0007095223731125696,0.009240517486188763,-0.014591769071140459,-0.018309885328057912,-1.459176907114046,-1.830988532805791
120843,Kotak Flexicap Fund - Regular - Growth,Kotak Mahindra MF,Equity,Flexi Cap,Moderately High,1149,0.001081754914045031,0.01000786081516778,-0.014507941385630474,-0.018381077688017156,-1.4507941385630474,-1.8381077688017156
149322,DSP Top 100 Equity Fund - Regular - Growth,DSP Mutual Fund,Equity,Large Cap,Moderate,1149,0.0005222511308194414,0.009042081769919406,-0.014473851983792741,-0.018401747612732604,-1.447385198379274,-1.8401747612732604
120506,ICICI Pru Value Discovery Fund - Regular - Growth,ICICI Prudential MF,Equity,Value,Moderately High,1149,0.0006501094769466271,0.009594323495169223,-0.014388462899080912,-0.01940489860249691,-1.4388462899080912,-1.940489860249691
100016,HDFC Top 100 Fund - Regular Plan - Growth,HDFC Mutual Fund,Equity,Large Cap,Moderate,1149,0.00014159930699210853,0.009164463506291045,-0.014363639988111142,-0.01806020763217176,-1.4363639988111143,-1.806020763217176
119093,Axis Bluechip Fund - Direct - Growth,Axis Mutual Fund,Equity,Large Cap,Moderate,1149,0.00032985864437101356,0.008808648249969932,-0.014225516634796053,-0.01748670974901306,-1.4225516634796054,-1.7486709749013059
118632,Nippon India Large Cap Fund - Regular - Growth,Nippon India MF,Equity,Large Cap,Moderate,1149,0.0008652259973214283,0.008912624198545502,-0.013954045870018117,-0.017618579320162156,-1.3954045870018117,-1.7618579320162155
119092,Axis Bluechip Fund - Regular - Growth,Axis Mutual Fund,Equity,Large Cap,Moderate,1149,0.0002749789297660477,0.008788090603213448,-0.013749592076363814,-0.017327870956436054,-1.3749592076363815,-1.7327870956436053
120504,ICICI Pru Bluechip Fund - Direct - Growth,ICICI Prudential MF,Equity,Large Cap,Moderate,1149,0.0008430464116382315,0.009048331253878,-0.013728193295939772,-0.017494143685606606,-1.3728193295939772,-1.7494143685606607
148567,Mirae Asset Large Cap Fund - Regular - Growth,Mirae Asset MF,Equity,Large Cap,Moderate,1149,0.001073675403449081,0.008941194822595982,-0.01355977641751056,-0.017622879905822203,-1.355977641751056,-1.7622879905822204
120503,ICICI Pru Bluechip Fund - Regular - Growth,ICICI Prudential MF,Equity,Large Cap,Moderate,1149,0.000697595408431375,0.008746373512793112,-0.01355001716250348,-0.01745055416552432,-1.355001716250348,-1.745055416552432
119552,SBI Bluechip Fund - Direct Plan - Growth,SBI Mutual Fund,Equity,Large Cap,Moderate,1149,0.0007852425930349881,0.008780976223037766,-0.013500970479935082,-0.017335699664199813,-1.3500970479935082,-1.7335699664199813
118633,Nippon India Large Cap Fund - Direct - Growth,Nippon India MF,Equity,Large Cap,Moderate,1149,0.0006163137445172902,0.008817415800853679,-0.013442525143024242,-0.016630178254004827,-1.3442525143024242,-1.6630178254004826
101206,ABSL Frontline Equity Fund - Regular - Growth,Aditya Birla Sun Life MF,Equity,Large Cap,Moderate,1149,0.0008517723174694551,0.009177111485957212,-0.013281661986281489,-0.017439425687129195,-1.328166198628149,-1.7439425687129195
120841,Kotak Bluechip Fund - Regular - Growth,Kotak Mahindra MF,Equity,Large Cap,Moderate,1149,0.0005220152587214266,0.008481394140912233,-0.013141782186804063,-0.01636273661834337,-1.3141782186804063,-1.636273661834337
119551,SBI Bluechip Fund - Regular Plan - Growth,SBI Mutual Fund,Equity,Large Cap,Moderate,1149,0.0009167982325947294,0.00865628985637757,-0.012846228628842571,-0.01639680693408763,-1.284622862884257,-1.639680693408763
102885,UTI Nifty 50 Index Fund - Regular - Growth,UTI Mutual Fund,Equity,Index,Moderate,1149,0.0006741587522893979,0.008086315812687745,-0.01261262882069356,-0.01549040525311211,-1.261262882069356,-1.549040525311211
118635,Nippon India ETF Nifty 50 BeES,Nippon India MF,Equity,Index/ETF,Moderate,1149,0.000600473969875538,0.008178621336543391,-0.012553697284754662,-0.01617696049480912,-1.2553697284754661,-1.617696049480912
119120,SBI Magnum Gilt Fund - Regular Plan - Growth,SBI Mutual Fund,Debt,Gilt,Low,1149,0.00022226830595075775,0.0024990143961777056,-0.003938283121850805,-0.005013693153022244,-0.3938283121850805,-0.5013693153022244
118636,Nippon India Gilt Securities Fund - Regular - Growth,Nippon India MF,Debt,Gilt,Low,1149,0.00020153331311365723,0.002510653047599153,-0.003804146068944347,-0.004918918420478294,-0.38041460689443474,-0.49189184204782943
100025,HDFC Short Term Debt Fund - Regular - Growth,HDFC Mutual Fund,Debt,Short Duration,Low,1149,0.00017005379350090052,0.0024600734466666972,-0.003793246199522682,-0.004993763020560281,-0.3793246199522682,-0.4993763020560281
120844,Kotak Liquid Fund - Regular - Growth,Kotak Mahindra MF,Debt,Liquid,Low,1149,0.0002561287499929851,0.0003233593463542916,-0.00028479272823556107,-0.00041099591933232505,-0.028479272823556105,-0.0410995919332325
101208,ABSL Liquid Fund - Regular - Growth,Aditya Birla Sun Life MF,Debt,Liquid,Low,1149,0.00024154628565905978,0.00031902540821652614,-0.0002686575130400159,-0.0004220820655857685,-0.02686575130400159,-0.04220820655857685
120507,ICICI Pru Liquid Fund - Regular - Growth,ICICI Prudential MF,Debt,Liquid,Low,1149,0.0002676525413793258,0.0003111357089670824,-0.00022157351389344714,-0.00037258039979649643,-0.022157351389344715,-0.037258039979649646
